ZIPCODE,MILES,CITY,STATE,LINEHAUL
01002,527.00,Amherst,MA,2169.00
01003,527.00,Amherst,MA,2169.00
01004,549.00,Amherst PO BOX,MA,2249.00
01005,549.00,Barre,MA,2249.00
01007,523.00,Belchertown,MA,2159.00
01008,508.00,Blandford,MA,2079.00
01009,519.00,Bondsville,MA,2139.00
01010,516.00,Brimfield,MA,2119.00
01011,514.00,Chester,MA,2119.00
01012,534.00,Chesterfield,MA,2189.00
01013,505.00,Chicopee,MA,2069.00
01014,506.00,Chicopee PO BOX,MA,2079.00
01015,506.00,Chicopee PO BOX,MA,2079.00
01016,506.00,Chicopee PO BOX,MA,2079.00
01017,506.00,Chicopee PO BOX,MA,2079.00
01018,506.00,Chicopee PO BOX,MA,2079.00
01019,506.00,Chicopee PO BOX,MA,2079.00
01020,506.00,Chicopee,MA,2079.00
01021,513.00,Chicopee PO BOX,MA,2099.00
01022,513.00,Chicopee,MA,2099.00
01026,540.00,Cummington,MA,2209.00
01027,516.00,Easthampton,MA,2119.00
01028,502.00,East Longmeadow,MA,2059.00
01029,502.00,East Otis,MA,2059.00
01030,501.00,Feeding Hills,MA,2059.00
01031,533.00,Gilbertville,MA,2189.00
01032,533.00,Goshen,MA,2189.00
01033,516.00,Granby,MA,2119.00
01034,497.00,Granville,MA,2039.00
01035,522.00,Hadley,MA,2159.00
01036,505.00,Hampden,MA,2069.00
01037,535.00,Hardwick,MA,2189.00
01038,525.00,Hatfield,MA,2169.00
01039,526.00,Haydenville,MA,2169.00
01040,509.00,Holyoke,MA,2089.00
01041,510.00,Holyoke,MA,2089.00
01050,523.00,Huntington,MA,2159.00
01053,524.00,Leeds,MA,2159.00
01054,534.00,Leverett,MA,2189.00
01056,508.00,Ludlow,MA,2079.00
01057,513.00,Monson,MA,2099.00
01059,528.00,North Amherst,MA,2179.00
01060,520.00,Northampton,MA,2149.00
01061,520.00,Northampton,MA,2149.00
01062,522.00,Florence,MA,2159.00
01063,521.00,Northampton,MA,2149.00
01066,527.00,North Hatfield,MA,2169.00
01068,542.00,Oakham,MA,2219.00
01069,516.00,Palmer,MA,2119.00
01070,545.00,Plainfield,MA,2229.00
01071,519.00,Russell,MA,2139.00
01072,536.00,Shutesbury,MA,2199.00
01073,519.00,Southampton,MA,2139.00
01074,541.00,South Barre,MA,2219.00
01075,515.00,South Hadley,MA,2119.00
01077,498.00,Southwick,MA,2049.00
01079,518.00,Thorndike,MA,2139.00
01080,518.00,Three Rivers,MA,2139.00
01081,512.00,Wales,MA,2099.00
01082,528.00,Ware,MA,2179.00
01083,537.00,Warren,MA,2199.00
01084,536.00,West Chesterfield,MA,2199.00
01085,502.00,Westfield,MA,2059.00
01086,511.00,Westfield,MA,2089.00
01088,525.00,West Hatfield,MA,2169.00
01089,507.00,West Springfield,MA,2079.00
01090,525.00,West Springfield PO BOX,MA,2169.00
01092,525.00,West Warren,MA,2169.00
01093,529.00,Whately,MA,2179.00
01094,538.00,Wheelwright,MA,2209.00
01095,512.00,Wilbraham,MA,2099.00
01096,528.00,Williamsburg,MA,2179.00
01097,517.00,Woronoco,MA,2139.00
01098,541.00,Worthington,MA,2219.00
01101,502.00,Springfield,MA,2059.00
01102,503.00,Springfield PO BOX,MA,2059.00
01103,503.00,Springfield,MA,2059.00
01104,503.00,Springfield,MA,2059.00
01105,501.00,Springfield,MA,2059.00
01106,498.00,Longmeadow,MA,2049.00
01107,504.00,Springfield,MA,2069.00
01108,499.00,Springfield,MA,2049.00
01109,502.00,Springfield,MA,2059.00
01110,502.00,Springfield PO BOX,MA,2059.00
01111,502.00,Springfield,MA,2059.00
01112,502.00,Springfield PO BOX,MA,2059.00
01113,502.00,Springfield PO BOX,MA,2059.00
01114,502.00,Springfield PO BOX,MA,2059.00
01115,502.00,Springfield PO BOX,MA,2059.00
01116,502.00,Longmeadow PO BOX,MA,2059.00
01117,502.00,Springfield PO BOX,MA,2059.00
01118,502.00,Springfield,MA,2059.00
01119,505.00,Springfield,MA,2069.00
01120,504.00,Springfield PO BOX,MA,2069.00
01121,504.00,Springfield PO BOX,MA,2069.00
01122,504.00,Springfield PO BOX,MA,2069.00
01123,504.00,Springfield PO BOX,MA,2069.00
01124,504.00,Springfield PO BOX,MA,2069.00
01125,504.00,Springfield PO BOX,MA,2069.00
01126,504.00,Springfield PO BOX,MA,2069.00
01127,504.00,Springfield PO BOX,MA,2069.00
01128,504.00,Springfield,MA,2069.00
01129,504.00,Springfield,MA,2069.00
01130,503.00,Springfield PO BOX,MA,2059.00
01131,503.00,Springfield PO BOX,MA,2059.00
01132,503.00,Springfield PO BOX,MA,2059.00
01133,503.00,Springfield PO BOX,MA,2059.00
01134,503.00,Springfield PO BOX,MA,2059.00
01135,503.00,Springfield PO BOX,MA,2059.00
01136,503.00,Springfield PO BOX,MA,2059.00
01137,503.00,Springfield PO BOX,MA,2059.00
01138,503.00,Springfield PO BOX,MA,2059.00
01139,503.00,Springfield PO BOX,MA,2059.00
01140,503.00,Springfield PO BOX,MA,2059.00
01141,503.00,Springfield PO BOX,MA,2059.00
01142,503.00,Springfield PO BOX,MA,2059.00
01143,503.00,Springfield PO BOX,MA,2059.00
01144,503.00,Springfield,MA,2059.00
01145,505.00,Springfield PO BOX,MA,2069.00
01146,505.00,Springfield PO BOX,MA,2069.00
01147,505.00,Springfield PO BOX,MA,2069.00
01148,505.00,Springfield PO BOX,MA,2069.00
01149,505.00,Springfield PO BOX,MA,2069.00
01150,505.00,Springfield PO BOX,MA,2069.00
01151,505.00,Indian Orchard,MA,2069.00
01152,501.00,Springfield,MA,2059.00
01199,502.00,Springfield,MA,2059.00
01201,522.00,Pittsfield,MA,2159.00
01202,522.00,Pittsfield,MA,2159.00
01203,539.00,Pittsfield PO BOX,MA,2209.00
01220,539.00,Adams,MA,2209.00
01222,476.00,Ashley Falls,MA,1949.00
01223,541.00,Becket,MA,2219.00
01224,529.00,Berkshire,MA,2179.00
01225,533.00,Cheshire,MA,2189.00
01226,528.00,Dalton,MA,2179.00
01227,528.00,Dalton,MA,2179.00
01229,523.00,Glendale,MA,2159.00
01230,486.00,Great Barrington,MA,1999.00
01235,532.00,Hinsdale,MA,2179.00
01236,525.00,Housatonic,MA,2169.00
01237,528.00,Lanesborough,MA,2179.00
01238,512.00,Lee,MA,2099.00
01240,517.00,Lenox,MA,2139.00
01242,515.00,Lenox Dale,MA,2119.00
01243,519.00,Middlefield,MA,2139.00
01244,499.00,Mill River,MA,2049.00
01245,506.00,Monterey,MA,2079.00
01247,537.00,North Adams,MA,2199.00
