ZIPCODE,MILES,CITY,STATE,LINEHAUL
76052,0,Haslet,TX,239
76177,2,Fort Worth,TX,239
76247,9,Justin,TX,239
76262,10,Roanoke,TX,239
76244,12,Keller,TX,239
76161,13,Fort Worth,TX,239
76071,14,Newark,TX,239
76131,14,Fort Worth,TX,239
76092,16,Southlake,TX,249
76137,16,Fort Worth,TX,249
76164,16,Fort Worth,TX,249
76193,16,Fort Worth,TX,249
76078,17,Rhome,TX,249
76106,17,Fort Worth,TX,249
76117,17,Haltom City,TX,249
76148,17,Fort Worth,TX,249
76150,17,Fort Worth,TX,249
76166,17,Fort Worth,TX,249
76197,17,Fort Worth,TX,249
76226,17,Argyle,TX,249
76102,18,Fort Worth,TX,249
76180,18,North Richland Hills,TX,249
76192,18,Fort Worth,TX,249
76195,18,Fort Worth,TX,249
76199,18,Fort Worth,TX,249
76104,19,Fort Worth,TX,259
76111,19,Fort Worth,TX,259
76191,19,Fort Worth,TX,259
76196,19,Fort Worth,TX,259
76198,19,Fort Worth,TX,259
76051,20,Grapevine,TX,259
76053,20,Hurst,TX,259
76054,20,Hurst,TX,259
76099,20,Grapevine,TX,259
76114,20,Fort Worth,TX,259
76179,20,Fort Worth,TX,259
76248,20,Keller,TX,259
75022,21,Flower Mound,TX,259
75028,21,Flower Mound,TX,259
76105,21,Fort Worth,TX,259
76107,21,Fort Worth,TX,259
76118,21,Fort Worth,TX,259
76127,21,Naval Air Station JRB,TX,259
76182,21,North Richland Hills,TX,259
76023,22,Boyd,TX,259
76103,22,Fort Worth,TX,259
76110,22,Fort Worth,TX,259
76122,22,Fort Worth,TX,259
76135,22,Fort Worth,TX,259
76021,23,Bedford,TX,269
76119,23,Fort Worth,TX,269
76129,23,Fort Worth,TX,269
76130,23,Fort Worth,TX,269
76207,23,Denton,TX,269
76034,24,Colleyville,TX,269
76112,24,Fort Worth,TX,269
76115,24,Fort Worth,TX,269
76120,24,Fort Worth,TX,269
76201,24,Denton,TX,269
76204,24,Denton,TX,269
76205,24,Denton,TX,269
75099,25,Coppell,TX,269
76022,25,Bedford,TX,269
76040,25,Euless,TX,269
76108,25,Fort Worth,TX,269
76109,25,Fort Worth,TX,269
76134,25,Fort Worth,TX,269
76203,25,Denton,TX,269
76259,25,Ponder,TX,269
75057,26,Lewisville,TX,279
76039,26,Euless,TX,279
