ZIPCODE,MILES,CITY,STATE,LINEHAUL
77571,2,La Porte,TX,239
77507,8,Pasadena,TX,239
77520,10,Baytown,TX,239
77536,10,Deer Park,TX,239
77586,10,Seabrook,TX,239
77565,11,Kemah,TX,239
77059,12,Houston,TX,239
77505,12,Pasadena,TX,239
77504,13,Pasadena,TX,239
77521,14,Baytown,TX,239
77034,14,Houston,TX,239
77503,14,Pasadena,TX,239
77518,15,Bacliff,TX,239
77058,15,Houston,TX,239
77506,15,Pasadena,TX,239
77502,15,Pasadena,TX,239
77587,15,South Houston,TX,239
77523,16,Baytown,TX,249
77598,16,Webster,TX,249
77562,17,Highlands,TX,249
77530,18,Channelview,TX,249
77089,18,Houston,TX,249
77062,18,Houston,TX,249
77015,19,Houston,TX,259
77573,19,League City,TX,259
77539,20,Dickinson,TX,259
77012,20,Houston,TX,259
77075,20,Houston,TX,259
77017,21,Houston,TX,259
77049,21,Houston,TX,259
77061,21,Houston,TX,259
77087,21,Houston,TX,259
77029,22,Houston,TX,259
77546,23,Friendswood,TX,269
77547,23,Galena Park,TX,269
77023,23,Houston,TX,269
77011,23,Houston,TX,269
77033,24,Houston,TX,269
77581,24,Pearland,TX,269
77013,25,Houston,TX,269
77021,25,Houston,TX,269
77590,25,Texas City,TX,269
77591,25,Texas City,TX,269
77003,26,Houston,TX,279
77004,26,Houston,TX,279
77020,26,Houston,TX,279
77048,27,Houston,TX,279
77010,27,Houston,TX,279
77006,28,Houston,TX,279
77002,28,Houston,TX,279
77047,28,Houston,TX,279
77051,28,Houston,TX,279
77026,28,Houston,TX,279
77028,28,Houston,TX,279
77568,28,La Marque,TX,279
77584,28,Pearland,TX,279
77597,28,Wallisville,TX,279
77019,29,Houston,TX,279
77054,29,Houston,TX,279
77201,29,Houston,TX,279
77532,30,Crosby,TX,289
77007,30,Houston,TX,289
77030,30,Houston,TX,289
77025,30,Houston,TX,289
77098,30,Houston,TX,289
77563,31,Hitchcock,TX,289
77078,31,Houston,TX,289
77016,31,Houston,TX,289
77050,31,Houston,TX,289
77022,31,Houston,TX,289
77046,31,Houston,TX,289
77044,31,Houston,TX,289
77045,31,Houston,TX,289
77009,32,Houston,TX,289
77005,32,Houston,TX,289
77396,32,Humble,TX,289
77401,33,Bellaire,TX,299
77035,33,Houston,TX,299
77517,33,Santa Fe,TX,299
77511,34,Alvin,TX,309
77535,34,Dayton,TX,309
77545,34,Fresno,TX,309
77096,34,Houston,TX,309
77053,34,Houston,TX,309
77093,34,Houston,TX,309
77489,34,Missouri City,TX,309
77510,34,Santa Fe,TX,309
77551,35,Galveston,TX,309
77560,35,Hankamer,TX,309
77085,35,Houston,TX,309
77008,35,Houston,TX,309
77018,35,Houston,TX,309
77076,35,Houston,TX,309
77346,35,Humble,TX,309
77055,36,Houston,TX,319
77027,36,Houston,TX,319
77081,36,Houston,TX,319
77550,37,Galveston,TX,319
77074,37,Houston,TX,319
77091,37,Houston,TX,319
77036,37,Houston,TX,319
77056,37,Houston,TX,319
77057,38,Houston,TX,329
77071,38,Houston,TX,329
77039,38,Houston,TX,329
77031,38,Houston,TX,329
77063,38,Houston,TX,329
77092,38,Houston,TX,329
77032,38,Houston,TX,329
77037,38,Houston,TX,329
77345,38,Kingwood,TX,329
77578,38,Manvel,TX,329
77088,39,Houston,TX,329
77336,39,Huffman,TX,329
77338,39,Humble,TX,329
77477,39,Stafford,TX,329
77514,40,Anahuac,TX,339
77060,40,Houston,TX,339
77024,40,Houston,TX,339
77072,40,Houston,TX,339
77042,40,Houston,TX,339
77575,40,Liberty,TX,339
77080,41,Houston,TX,339
77038,41,Houston,TX,339
77099,41,Houston,TX,339
77339,41,Kingwood,TX,339
77315,41,North Houston,TX,339
77043,42,Houston,TX,349
77459,42,Missouri City,TX,349
77086,43,Houston,TX,349
77478,43,Sugar Land,TX,349
77082,44,Houston,TX,359
77079,44,Houston,TX,359
77040,44,Houston,TX,359
77073,44,Houston,TX,359
77067,44,Houston,TX,359
77014,45,Houston,TX,359
77077,45,Houston,TX,359
77083,45,Houston,TX,359
77577,45,Liverpool,TX,359
77365,45,Porter,TX,359
77554,46,Galveston,TX,369
77479,46,Sugar Land,TX,369
77583,47,Rosharon,TX,369
77498,47,Sugar Land,TX,369
77538,48,Devers,TX,369
77066,48,Houston,TX,369
77090,48,Houston,TX,369
77041,48,Houston,TX,369
77068,48,Houston,TX,369
77065,48,Houston,TX,369
77064,49,Houston,TX,379
77357,49,New Caney,TX,379
77665,49,Winnie,TX,379
