ZIPCODE,MILES,CITY,STATE,LINEHAUL
75149,0,Mesquite,TX,239
75182,3,Sunnyvale,TX,239
75150,5,Mesquite,TX,239
75180,5,Balch Springs,TX,239
75227,5,Dallas,TX,239
75181,6,Mesquite,TX,239
75228,6,Dallas,TX,239
75217,7,Dallas,TX,239
75390,7,Dallas,TX,239
75043,8,Garland,TX,239
75253,8,Dallas,TX,239
75210,9,Dallas,TX,239
75041,10,Garland,TX,239
75126,10,Forney,TX,239
75223,10,Dallas,TX,239
75398,10,Dallas,TX,239
75218,11,Dallas,TX,239
75270,11,Dallas,TX,239
75042,12,Garland,TX,239
75226,12,Dallas,TX,239
75238,12,Dallas,TX,239
75246,12,Dallas,TX,239
75040,13,Garland,TX,239
75159,13,Seagoville,TX,239
75201,13,Dallas,TX,239
75202,13,Dallas,TX,239
75242,13,Dallas,TX,239
75277,13,Dallas,TX,239
75373,13,Dallas,TX,239
75391,13,Dallas,TX,239
75397,13,Dallas,TX,239
75215,14,Dallas,TX,239
75221,14,Dallas,TX,239
75303,14,Dallas,TX,239
75320,14,Dallas,TX,239
75326,14,Dallas,TX,239
75395,14,Dallas,TX,239
75088,15,Rowlett,TX,239
75204,15,Dallas,TX,239
75231,15,Dallas,TX,239
75243,15,Dallas,TX,239
75283,15,Dallas,TX,239
75284,15,Dallas,TX,239
75285,15,Dallas,TX,239
75342,15,Dallas,TX,239
75392,15,Dallas,TX,239
75393,15,Dallas,TX,239
75394,15,Dallas,TX,239
75089,16,Rowlett,TX,249
75207,16,Dallas,TX,249
75214,16,Dallas,TX,249
75219,16,Dallas,TX,249
75251,16,Dallas,TX,249
75044,17,Garland,TX,249
75048,17,Sachse,TX,249
75141,17,Hutchins,TX,249
75203,17,Dallas,TX,249
75205,17,Dallas,TX,249
75206,17,Dallas,TX,249
75208,17,Dallas,TX,249
75225,17,Dallas,TX,249
75312,17,Dallas,TX,249
75087,18,Rockwall,TX,249
75114,18,Crandall,TX,249
75212,18,Dallas,TX,249
75224,18,Dallas,TX,249
75230,18,Dallas,TX,249
75240,18,Dallas,TX,249
75275,18,Dallas,TX,249
75301,18,Dallas,TX,249
75358,18,Dallas,TX,249
75032,19,Rockwall,TX,259
75134,19,Lancaster,TX,259
75172,19,Wilmer,TX,259
75216,19,Dallas,TX,259
75241,19,Dallas,TX,259
75081,20,Richardson,TX,259
75083,20,Richardson,TX,259
75209,20,Dallas,TX,259
75235,20,Dallas,TX,259
75244,20,Dallas,TX,259
75098,21,Wylie,TX,259
75160,21,Terrell,TX,259
75211,21,Dallas,TX,259
75232,21,Dallas,TX,259
75001,22,Addison,TX,259
75060,22,Irving,TX,259
75080,22,Richardson,TX,259
75132,22,Fate,TX,259
75220,22,Dallas,TX,259
75234,22,Dallas,TX,259
75247,22,Dallas,TX,259
75248,22,Dallas,TX,259
75260,22,Dallas,TX,259
75368,22,Dallas,TX,259
75082,23,Richardson,TX,269
75125,23,Ferris,TX,269
75146,23,Lancaster,TX,269
75254,23,Dallas,TX,269
75115,24,DeSoto,TX,269
75123,24,DeSoto,TX,269
75137,24,Duncanville,TX,269
75237,24,Dallas,TX,269
75287,24,Dallas,TX,269
75014,25,Irving,TX,269
75074,25,Plano,TX,269
75229,25,Dallas,TX,269
75233,25,Dallas,TX,269
75050,26,Grand Prairie,TX,279
75061,26,Irving,TX,279
75062,26,Irving,TX,279
75075,26,Plano,TX,279
75116,26,Duncanville,TX,279
75166,26,Lavon,TX,279
75189,26,Royse City,TX,279
75236,26,Dallas,TX,279
75252,26,Dallas,TX,279
75006,27,Carrollton,TX,279
75011,27,Carrollton,TX,279
75051,27,Grand Prairie,TX,279
75104,27,Cedar Hill,TX,279
75249,27,Dallas,TX,279
75023,28,Plano,TX,279
75063,28,Irving,TX,279
75094,28,Plano,TX,279
75118,28,Elmo,TX,279
75142,28,Kaufman,TX,279
75154,28,Red Oak,TX,279
75002,29,Allen,TX,279
75013,29,Allen,TX,279
75039,29,Irving,TX,279
75093,29,Plano,TX,279
75161,29,Terrell,TX,279
75389,29,Dallas,TX,279
75019,30,Coppell,TX,289
75025,30,Plano,TX,289
75121,30,Copeville,TX,289
75152,30,Palmer,TX,289
75007,31,Carrollton,TX,289
75038,31,Irving,TX,289
75052,31,Grand Prairie,TX,289
75173,31,Nevada,TX,289
76011,31,Arlington,TX,289
76006,32,Arlington,TX,289
75024,33,Plano,TX,299
75261,33,Dallas,TX,299
76012,33,Arlington,TX,299
75057,34,Lewisville,TX,309
75099,34,Coppell,TX,309
75035,35,Frisco,TX,309
75067,35,Lewisville,TX,309
75135,35,Caddo Mills,TX,309
75158,35,Scurry,TX,309
75164,35,Josephine,TX,309
76014,35,Arlington,TX,309
75010,36,Carrollton,TX,319
75033,36,Frisco,TX,319
75056,36,The Colony,TX,319
75069,36,McKinney,TX,319
75165,36,Waxahachie,TX,319
75167,36,Waxahachie,TX,319
76018,36,Arlington,TX,319
76099,36,Grapevine,TX,319
75034,37,Frisco,TX,319
75119,37,Ennis,TX,319
75120,37,Ennis,TX,319
75442,37,Farmersville,TX,319
75474,37,Quinlan,TX,319
76002,37,Arlington,TX,319
76039,37,Euless,TX,319
76051,37,Grapevine,TX,319
76065,37,Midlothian,TX,319
76120,37,Fort Worth,TX,319
75077,38,Lewisville,TX,329
75143,38,Kemp,TX,329
75169,38,Wills Point,TX,329
76015,38,Arlington,TX,329
76040,38,Euless,TX,329
76112,38,Fort Worth,TX,329
76155,38,Fort Worth,TX,329
75028,39,Flower Mound,TX,329
75071,39,McKinney,TX,329
76010,39,Arlington,TX,329
76001,40,Arlington,TX,339
76013,40,Arlington,TX,339
76016,40,Arlington,TX,339
76017,40,Arlington,TX,339
76019,40,Arlington,TX,339
76060,40,Kennedale,TX,339
75065,41,Lake Dallas,TX,339
75070,41,McKinney,TX,339
76022,41,Bedford,TX,339
76092,41,Southlake,TX,339
76103,41,Fort Worth,TX,339
75054,42,Grand Prairie,TX,349
75157,42,Rosser,TX,349
76084,42,Venus,TX,349
75022,43,Flower Mound,TX,349
75068,43,Little Elm,TX,349
75078,43,Prosper,TX,349
76021,43,Bedford,TX,349
76034,43,Colleyville,TX,349
75101,44,Bardwell,TX,359
75117,44,Edgewood,TX,359
75454,44,Melissa,TX,359
76063,44,Mansfield,TX,359
76054,45,Hurst,TX,359
76210,45,Denton,TX,359
75401,46,Greenville,TX,369
75155,47,Rice,TX,369
75402,47,Greenville,TX,369
75407,47,Princeton,TX,369
75424,47,Blue Ridge,TX,369
76041,47,Forreston,TX,369
76064,47,Maypearl,TX,369
76119,47,Fort Worth,TX,369
75103,48,Canton,TX,369
75147,48,Mabank,TX,369
76053,48,Hurst,TX,369
76140,48,Fort Worth,TX,369
76205,48,Denton,TX,369
76262,48,Roanoke,TX,369
75009,49,Celina,TX,379
75127,49,Fruitvale,TX,379
75409,49,Anna,TX,379
76115,49,Fort Worth,TX,379
76180,49,North Richland Hills,TX,379
76009,50,Alvarado,TX,379
76104,50,Fort Worth,TX,379
76134,50,Fort Worth,TX,379
76201,50,Denton,TX,379
76208,50,Denton,TX,379
76105,51,Fort Worth,TX,379
76118,51,Fort Worth,TX,379
76203,51,Denton,TX,379
76204,51,Denton,TX,379
76244,51,Keller,TX,379
76623,51,Avalon,TX,379
75422,52,Campbell,TX,389
76061,52,Lillian,TX,389
76102,52,Fort Worth,TX,389
76110,52,Fort Worth,TX,389
76192,52,Fort Worth,TX,389
76199,52,Fort Worth,TX,389
76209,52,Denton,TX,389
76651,52,Italy,TX,389
75485,53,Westminster,TX,389
75495,53,Van Alstyne,TX,389
76111,53,Fort Worth,TX,389
