ZIPCODE,CITY,STATE,LINEHAUL
23707,Portsmouth,VA,213.86
23704,Portsmouth,VA,221.26
23708,Portsmouth,VA,221.26
23701,Portsmouth,VA,221.26
23702,Portsmouth,VA,221.26
23703,Portsmouth,VA,221.26
23709,Portsmouth,VA,221.26
23510,Norfolk,VA,221.26
23324,Chesapeake,VA,221.26
23504,Norfolk,VA,221.26
23507,Norfolk,VA,221.26
23508,Norfolk,VA,221.26
23517,Norfolk,VA,221.26
23523,Norfolk,VA,221.26
23323,Chesapeake,VA,228.66
23502,Norfolk,VA,228.66
23505,Norfolk,VA,228.66
23509,Norfolk,VA,228.66
23513,Norfolk,VA,228.66
23519,Norfolk,VA,228.66
23321,Chesapeake,VA,228.66
23325,Chesapeake,VA,228.66
23511,Norfolk,VA,228.66
23433,Suffolk,VA,228.66
23436,Suffolk,VA,228.66
23503,Norfolk,VA,228.66
23518,Norfolk,VA,228.66
23462,Virginia Beach,VA,228.66
23320,Chesapeake,VA,236.06
23464,Virginia Beach,VA,236.06
23607,Newport News,VA,236.06
23435,Suffolk,VA,236.06
23438,Suffolk,VA,236.06
23452,Virginia Beach,VA,236.06
23455,Virginia Beach,VA,236.06
23661,Hampton,VA,236.06
23314,Carrollton,VA,236.06
23432,Suffolk,VA,236.06
23434,Suffolk,VA,236.06
23437,Suffolk,VA,236.06
23605,Newport News,VA,236.06
23666,Hampton,VA,243.46
23453,Virginia Beach,VA,243.46
23601,Newport News,VA,243.46
23651,Fort Monroe,VA,243.46
23669,Hampton,VA,243.46
23322,Chesapeake,VA,243.46
23456,Virginia Beach,VA,243.46
23430,Smithfield,VA,243.46
23454,Virginia Beach,VA,243.46
23663,Hampton,VA,243.46
23459,Virginia Beach,VA,243.46
23461,Virginia Beach,VA,243.46
23606,Newport News,VA,243.46
23664,Hampton,VA,243.46
23460,Virginia Beach,VA,250.86
23451,Virginia Beach,VA,250.86
23665,Hampton,VA,250.86
23487,Windsor,VA,258.26
23602,Newport News,VA,258.26
23662,Poquoson,VA,258.26
27958,Moyock,NC,258.26
23608,Newport News,VA,258.26
23692,Yorktown,VA,258.26
23604,Fort Eustis,VA,258.26
23603,Newport News,VA,265.66
23691,Yorktown,VA,265.66
23696,Seaford,VA,265.66
23898,Zuni,VA,265.66
23315,Carrsville,VA,265.66
23690,Yorktown,VA,265.66
23693,Yorktown,VA,265.66
27976,South Mills,NC,265.66
23457,Virginia Beach,VA,265.66
23062,Gloucester Point,VA,265.66
27926,Corapeake,NC,265.66
23072,Hayes,VA,265.66
23866,Ivor,VA,287.86
27929,Currituck,NC,287.86
27973,Shawboro,NC,287.86
23185,Williamsburg,VA,287.86
23883,Surry,VA,287.86
27956,Maple,NC,287.86
23851,Franklin,VA,287.86
27937,Gates,NC,287.86
27917,Barco,NC,287.86
27979,Sunbury,NC,287.86
23888,Wakefield,VA,295.26
23846,Elberon,VA,295.26
27921,Camden,NC,295.26
23061,Gloucester,VA,295.26
27923,Coinjock,NC,295.26
27950,Knotts Island,NC,295.26
23188,Williamsburg,VA,295.26
23310,Cape Charles,VA,295.26
23837,Courtland,VA,302.66
23881,Spring Grove,VA,302.66
27938,Gatesville,NC,302.66
23839,Dendron,VA,302.66
27909,Elizabeth City,NC,310.06
27916,Aydlett,NC,310.06
27946,Hobbsville,NC,310.06
23168,Toano,VA,310.06
23874,Newsoms,VA,310.06
23878,Sedley,VA,310.06
23890,Waverly,VA,310.06
27935,Eure,NC,310.06
27818,Como,NC,310.06
27974,Shiloh,NC,310.06
27965,Poplar Branch,NC,310.06
27986,Winton,NC,310.06
23011,Barhamsville,VA,310.06
27939,Grandy,NC,310.06
23128,North,VA,310.06
23405,Machipongo,VA,310.06
23829,Capron,VA,310.06
23050,Dutton,VA,317.46
23025,Cardinal,VA,317.46
23035,Cobbs Creek,VA,317.46
23056,Foster,VA,317.46
27922,Cofield,NC,317.46
27947,Jarvisburg,NC,317.46
23089,Lanexa,VA,317.46
23307,Birdsnest,VA,317.46
27919,Belvidere,NC,317.46
23827,Boykins,VA,317.46
27855,Murfreesboro,NC,317.46
27944,Hertford,NC,317.46
23021,Bohannon,VA,317.46
23842,Disputanta,VA,317.46
27966,Powells Point,NC,317.46
27980,Tyner,NC,317.46
23068,Hallieford,VA,317.46
23071,Hartfield,VA,317.46
23076,Hudgins,VA,317.46
23109,Mathews,VA,317.46
23844,Drewryville,VA,317.46
23119,Moon,VA,324.86
23156,Shacklefords,VA,324.86
23354,Franktown,VA,324.86
23828,Branchville,VA,324.86
27910,Ahoskie,NC,324.86
23149,Saluda,VA,324.86
23176,Wake,VA,324.86
23181,West Point,VA,324.86
23030,Charles City,VA,324.86
23110,Mattaponi,VA,324.86
27942,Harrellsville,NC,324.86
23045,Diggs,VA,324.86
23070,Hardyville,VA,324.86
23169,Topping,VA,324.86
23350,Exmore,VA,324.86
27941,Harbinger,NC,324.86
23092,Locust Hill,VA,324.86
23138,Port Haywood,VA,324.86
23140,Providence Forge,VA,324.86
23043,Deltaville,VA,324.86
23130,Onemo,VA,324.86
23163,Susan,VA,324.86
23175,Urbanna,VA,324.86
23306,Belle Haven,VA,324.86
27820,Conway,NC,324.86
27964,Point Harbor,NC,324.86
23124,New Kent,VA,332.26
23897,Yale,VA,332.26
27805,Aulander,NC,332.26
27862,Pendleton,NC,332.26
23032,Church View,VA,332.26
23091,Little Plymouth,VA,332.26
23125,New Point,VA,332.26
23345,Davis Wharf,VA,332.26
27853,Margarettsville,NC,332.26
23108,Mascot,VA,332.26
23420,Painter,VA,332.26
27897,Woodland,NC,332.26
22578,White Stone,VA,332.26
23079,Jamaica,VA,332.26
23875,Prince George,VA,332.26
27932,Edenton,NC,332.26
23141,Quinton,VA,332.26
23882,Stony Creek,VA,332.26
27924,Colerain,NC,332.26
22480,Irvington,VA,339.66
23803,Petersburg,VA,339.66
23805,Petersburg,VA,339.66
23834,Colonial Heights,VA,339.66
23847,Emporia,VA,339.66
22504,Laneview,VA,347.06
23085,King and Queen Court Hous,VA,347.06
23180,Water View,VA,347.06
23410,Melfa,VA,347.06
23830,Carson,VA,347.06
27876,Seaboard,NC,347.06
27949,Kitty Hawk,NC,347.06
22482,Kilmarnock,VA,347.06
23801,Fort Lee,VA,347.06
27869,Rich Square,NC,347.06
23358,Hacksneck,VA,347.06
27849,Lewiston Woodville,NC,347.06
23860,Hopewell,VA,347.06
27948,Kill Devil Hills,NC,347.06
22576,Weems,VA,347.06
23418,Onley,VA,347.06
22437,Center Cross,VA,347.06
23086,King William,VA,347.06
23404,Locustville,VA,347.06
23417,Onancock,VA,347.06
23879,Skippers,VA,347.06
27845,Jackson,NC,347.06
23150,Sandston,VA,347.06
23161,Stevensville,VA,347.06
23075,Henrico,VA,347.06
23301,Accomac,VA,347.06
23357,Greenbush,VA,347.06
27831,Garysburg,NC,347.06
27872,Roxobel,NC,347.06
27957,Merry Hill,NC,347.06
22503,Lancaster,VA,347.06
23831,Chester,VA,347.06
